阿党比周    相互勾结，相互偏袒，结党营私。
阿平绝倒    据《晋书·卫玠传》及《王澄传》载，玠好言玄理。琅玡王澄字平子，兄昵称之曰：“阿平”。有高名，少所推许，每闻玠言，辄叹息绝倒。故时为之语曰：“卫玠谈道，平子绝倒。”后因以“阿平绝倒”谓对对方的言论极为佩服。亦用为讥讽言论极为乖谬，常贻笑大方。
阿权膴仕    阿附权势，以求得高位厚禄。
阿时趋俗    迎合世俗和时尚。
阿世媚俗    曲意迎合当时社会的陈规陋俗。
阿世取容    迎合世俗，取悦于人。
阿意取容    曲从其意，以取悦于人。
阿谀取容    曲意奉承，取悦于人。
哀兵必胜    《老子》：“故抗兵相加，哀者胜矣。”王弼注：“抗，举也。加，当也。哀者必相惜，而不趣利避害，故必胜。”任继愈注：“哀，沉痛，悲愤。”后遂谓因受压而悲愤的一方，定能克敌制胜。
哀而不伤    谓悲伤而不过分。儒家诗教的重要命题。指诗歌、音乐不失中和之美。《论语·八佾》：“《关雎》乐而不淫，哀而不伤。”何晏集解：“孔曰：‘哀不至伤，言其和也。’”硃熹集注：“伤者，哀之过而害於和者也。”鲁迅《汉文学史纲要》第二篇：“哀而不伤，乐而不淫，虽诗歌，亦教训也。”亦谓貌似悲哀而实不伤心。
哀感顽艳    《文选·繁钦〈与魏文帝笺〉》：“咏北狄之遐征，奏胡马之长思，凄入肝脾，哀感顽艳。”吕延济注：“顽钝艳美者皆感之。”后遂以“哀感顽艳”形容诗文的词旨凄恻动人。
哀鸿遍野    比喻到处都是流离失所的灾民。
哀毁骨立    亦作“哀毁瘠立”。形容因居亲丧悲损其身，瘦瘠如骨骸支立。语本《后汉书·韦彪传》：“父母卒，哀毁三年……服竟，羸瘠骨立异形。”
哀毁瘠立    见“哀毁骨立”。
哀丝豪竹    指悲壮的乐声。丝，指弦乐器；竹，指管乐器。
唉声叹气    因伤感、烦闷或痛苦而发出叹息声。
挨风缉缝    谓多方钻营。
挨肩并足    形容人群拥挤。
挨肩擦膀    谓身体相贴近。
挨肩擦背    形容人群拥挤。
挨肩叠背    形容人群拥挤。
挨三顶五    又作：三五成群。
挨山塞海    形容人多拥挤。
捱风缉缝    多方钻营。
捱三顶四    形容人群拥挤，接连不断。
捱三顶五    见“捱三顶四”。
嗳声叹气    因伤感、烦闷或痛苦而发出叹息的声音。
矮人观场    同“矮子看戏”。
矮人看场    同“矮子看戏”。
矮人看戏    见“矮子看戏”。
矮子观场    同“矮子看戏”。
矮子看戏    喻己无所见而随声附和。
爱不忍释    喜欢得舍不得放下。极言喜爱。
爱不释手    见“爱不忍释”。
爱才如命    见“爱才若渴”。
爱才若渴    爱慕贤才就像口渴思饮一样。形容十分爱重人才。
爱财如命    吝惜钱财就像吝惜自己的生命一样。喻过分贪财，非常吝啬。
爱礼存羊    《论语·八佾》：“子贡欲去告朔之饩羊，子曰：‘赐也，尔爱其羊，我爱其礼。’”后以“爱礼存羊”比喻为维护根本而保留有关仪节。
爱莫能助    虽然同情，却限于条件无从帮助。语本《诗·大雅·烝民》：“我仪图之，维仲山甫举之，爱莫助之。”郑玄笺：“爱，惜也。仲山甫独能举此德而行之，惜乎莫能助之者。”
爱人以德    按照道德标准去爱护和帮助他人。
爱手反裘    比喻愚昧不辨本末。语本汉刘向《新序·杂事二》：“魏文侯出游，见路人反裘而负刍。文侯曰：‘胡为反裘而负刍？’对曰：‘臣爱其毛。’文侯曰：‘若不知其里尽而毛无所恃耶？’”
爱素好古    《老子》：“见素抱朴，少私寡欲。”《论语·述而》：“子曰：述而不作，信而好古，窃比於我老彭。”后以“爱素好古”谓爱好朴质，不趋时尚。
爱屋及乌    谓爱其人而推爱及与之有关的人或物。语本《尚书大传》卷三：“爱人者，兼其屋上之乌。”
爱惜羽毛    汉刘向《说苑·杂言》：“夫君子爱口，孔雀爱羽，虎豹爱爪。”后以“爱惜羽毛”喻珍惜自己的名声。
爱憎分明    爱什么，恨什么，态度很鲜明。
碍手碍脚    妨碍别人做事，使人感到不方便。
碍足碍手    同“碍手碍脚”。
安邦定国    使国家平安稳定。
安不忘危    处在平安的环境，要经常想到可能会出现的困难危险。
安步当车    缓缓步行，当作坐车。语本《战国策·齐策四》：“晚食以当肉，安步以当车。”
安常習故    谓习惯于成规。
安堵乐业    同“安居乐业”。
安分守己    安守本分，规矩老实。
安份守己    见“安分守己”。
安富尊荣    安逸富足，尊贵荣耀。
安故重迁    安于旧俗，不轻易改变。
安家乐业    犹安居乐业。
安家立业    成立家庭，建立事业。
安家落户    ①把家庭安置在某地，长期住下去。②比喻某种生物被引进到新地方后，同原产地一样地生长繁殖。
安居乐业    安定地生活，愉快地从事其职业。
安老怀少    尊重老人，使其安逸；关怀年轻人，使其信从。语本《论语·公冶长》：“子路曰：‘原闻子之志。’子曰：‘老者安之，朋友信之，少者怀之。’”邢昺疏：“此夫子之志也。怀，归也，言己原老者安，己事之以孝敬也……少者归，己施之以恩惠也。”
安乐窝    宋邵雍自号安乐先生，隐居苏门山，名其居为“安乐窝”。后迁洛阳天津桥南仍用此名。曾作《无名公传》自况：“所寝之室谓之安乐窝，不求过美，惟求冬暖夏凉。”又作《安乐窝中四长吟》：“安乐窝中快活人，闲来四物幸相亲：一编诗逸收花月，一部书严惊鬼神，一炷香清冲宇泰，一樽酒美湛天真。”后泛指安静舒适的住处。
安民告示    安定民心的告示。
安内攘外    汉张仲景《伤寒论·太阳病上》：“甘草甘平，有安内攘外之能。”原就药的疗效而言。后多指安定内部，排除外患。
安贫乐道    谓安于清贫，以追求圣贤之道为乐。为古代儒家所提倡的立身处世的态度。语本《论语·雍也》：“贤哉回也！一箪食，一瓢饮，在陋巷。人不堪其忧，回也不改其乐。”何晏集解引孔安国曰：“颜渊乐道，虽箪食在陋巷，不改其所乐。”
安然无恙    平安无事。
安如太山    见“安如泰山”。
安如泰山    形容极其平安稳固。泰，也写作“太”。
安身乐业    安稳快乐地过日子。
安身立命    谓生活有着落，精神亦有所寄托。
安生服业    平稳地生活，安心地从事自己的生业。
安生乐业    犹安居乐业。
安时处顺    谓安于时运，顺应变化。语本《庄子·养生主》：“適来，夫子时也；適去，夫子顺也。安时而处顺，哀乐不能入也。”
安土乐业    安居本土，愉快地从事自己的职业。
安土重旧    留恋故土，不轻易改变旧俗。
安土重居    犹安土重迁。
安土重迁    留恋故乡，不愿轻易迁居异地。
安心乐业    心绪安定，生活愉快。
安心乐意    心情安定，满意。
安心落意    放心，无忧虑。
安营下寨    见“安营扎寨”。
安营扎寨    亦作“安营下寨”。①指军队驻扎。②现喻指为完成某项任务而建立临时住所。
安於盘石    象盘石一样安然不动。形容安定稳固。
安於现状    习惯、满足于目前的状况，不求进取。
安枕而卧    安安稳稳地睡眠。喻指无忧无虑。
安之若素    谓对反常现象或不顺利的情况视若平常，毫不在意。
鞍前马后    又作：马前马后。谓追随左右。
闇室不欺    据汉刘向《列女传·卫灵夫人》载，卫大夫蘧伯玉仁智敬上，夜间乘车过卫灵公阙，按照礼制下公门，式路马，不以闇昧废礼。后因以“闇室不欺”谓在无人看见的地方，也不作昧心事。
闇无天日    形容社会极端黑暗。
岸谷之变    《诗·小雅·十月之交》：“高岸为谷，深谷为陵。”毛传：“言易位也。”郑玄笺：“易位者，君子居下小人处上之谓也。”后因以“岸谷之变”比喻政治上的重大变化。
岸然道貌    ①谓神态严肃。②指严肃的神态。
按兵不动    让军队驻扎下来暂不行动。
按步就班    见“按部就班”。
按部就班    ①谓安排文义，组织章句。语出晋陆机《文赋》：“观古今於须臾，抚四海於一瞬。然后选义按部，考辞就班。”②按照条理或遵循一定的程序。
按甲寝兵    见“按甲休兵”。
按甲休兵    屯兵休整。
按名责实    循名责实。
按图索骥    亦作“按图索骏”。①按照图像寻找良马。比喻拘泥成法办事。语本《汉书·梅福传》：“今不循伯者之道，乃欲以三代选举之法，取当时之士，犹察伯乐之图，求骐骥於市，而不可得，亦已明矣。”②用于比喻按照线索去寻找，易于获得。
按图索骏    见“按图索骥”。
案兵束甲    放下兵器，捆束铠甲。谓停止作战。
案甲休兵    谓停止战事，休养士卒。
暗锤打人    比喻暗中对人进行攻击。
暗斗明争    暗里明里都在进行斗争。常形容尽力争权夺利。
暗度陈仓    《史记·高祖本纪》：“正月，项羽自立为西楚霸王，王梁楚地九郡，都彭城。负约，更立沛公为汉王，王巴、蜀、汉中，都南郑……汉王之国，项王使卒三万人从，楚与诸侯之慕从者数万人，从杜南入蚀中。去辄烧绝栈道，以备诸侯盗兵袭之，亦示项羽无东意……八月，汉王用韩信之计，从故道还，袭雍王章邯。邯迎击汉陈仓，雍兵败，还走；止战好畤，又复败，走废丘。汉王遂定雍地。东至咸阳，引兵围雍王废丘，而遣诸将略定陇西、北地、上郡。”陈仓，古县名，在今陕西省宝鸡市东，为通向汉中的交通孔道。后遂以“暗度陈仓”指正面迷惑敌人，而从侧翼进行突然袭击。亦比喻暗中进行活动。
暗箭难防    比喻阴谋诡计难以防备。
暗箭伤人    放冷箭伤害人。比喻用阴险的手段暗中攻击或陷害别人。语本宋刘炎《迩言》卷六：“暗箭中人，其深次骨，人之怨之，亦必次骨，以其掩人所不备也。”
暗绿稀红    又作：绿肥红瘦。形容叶盛花稀的暮春景象。
暗室不欺    虽在别人看不见的地方，也不做亏心事。谓光明磊落。语出唐骆宾王《萤火赋》：“类君子之有道，入暗室而不欺。”
暗室屋漏    指别人看不见的地方；隐私之室。
暗送秋波    本指女子暗中以眉目传情，引申为献媚取宠，暗中勾结。秋波，比喻美女的眼睛。语本宋苏轼《百步洪》诗之二：“佳人未肯回秋波，幼舆欲语防飞梭。”
暗无天日    看不到一线光明。多形容政治腐败，社会黑暗。
暗香疏影    宋林逋《山园小梅》诗之一：“疏影横斜水清浅，暗香浮动月黄昏。”后遂以“暗香疏影”为梅花的代称。
暗中摸索    在黑暗中寻找探索。亦比喻无人指引，独自探求。
黯晦消沉    谓湮没消失。
黯然神伤    心神悲沮貌。
黯然失色    指相比之下，事物仿佛失去原有的色泽、光彩。
黯然无色    指事物失去原有光彩，变得暗淡无光。
黯然销魂    心神沮丧，失魂落魄。
昂藏七尺    指轩昂伟岸的男子汉。
昂首阔步    仰着头，迈着大步。形容精神奋发或态度傲慢。
昂首挺胸    仰起头，挺起胸膛。形容无所畏惧或坚决的样子。
